SOTicketID,TableName,SupportEmployee
TKT0055921,Table16,"['02519', 'FirstName2519', 'LastName2519', datetime.datetime(2002, 3, 2, 0, 0), 'Nam', 5813262, 0]"
TKT0059824,Table84,"['00420', 'FirstName420', 'LastName420', datetime.datetime(1993, 9, 1, 0, 0), 'Nu', 9105607, 0]"
TKT0071436,Table2,"['03751', 'FirstName3751', 'LastName3751', datetime.datetime(2000, 3, 31, 0, 0), 'Nam', 18266616, 0]"
TKT0081106,Table86,"['02010', 'FirstName2010', 'LastName2010', datetime.datetime(1994, 4, 7, 0, 0), 'Nu', 17159404, 0]"
TKT0021044,Table4,"['03459', 'FirstName3459', 'LastName3459', datetime.datetime(1995, 1, 20, 0, 0), 'Nu', 14671397, 0]"
TKT0032891,Table34,"['00900', 'FirstName900', 'LastName900', datetime.datetime(1996, 1, 22, 0, 0), 'Nam', 10511734, 0]"
TKT0054997,Table75,"['03892', 'FirstName3892', 'LastName3892', datetime.datetime(1994, 1, 17, 0, 0), 'Nu', 15186540, 0]"
TKT0078138,Table63,"['04398', 'FirstName4398', 'LastName4398', datetime.datetime(1997, 8, 31, 0, 0), 'Nam', 18549680, 0]"
TKT0084349,Table81,"['03467', 'FirstName3467', 'LastName3467', datetime.datetime(1995, 11, 10, 0, 0), 'Nu', 9413857, 0]"
TKT0026147,Table42,"['03670', 'FirstName3670', 'LastName3670', datetime.datetime(1995, 7, 30, 0, 0), 'Nu', 13505806, 0]"
TKT0071990,Table49,"['02014', 'FirstName2014', 'LastName2014', datetime.datetime(2000, 1, 14, 0, 0), 'Nu', 12104432, 0]"
TKT0071289,Table95,"['00017', 'FirstName17', 'LastName17', datetime.datetime(2002, 3, 29, 0, 0), 'Nam', 5725944, 0]"
TKT0088727,Table57,"['02304', 'FirstName2304', 'LastName2304', datetime.datetime(1992, 4, 19, 0, 0), 'Nam', 12531993, 0]"
TKT0067449,Table34,"['04161', 'FirstName4161', 'LastName4161', datetime.datetime(2002, 12, 21, 0, 0), 'Nam', 18195328, 0]"
